Name,Season,Team, Price 
A Flintoff,2009,Chennai Super Kings," $1,550,000.00 "
GJ Bailey,2009,Chennai Super Kings," $50,000.00 "
JA Morkel,2009,Chennai Super Kings," $675,000.00 "
JDP Oram,2009,Chennai Super Kings," $675,000.00 "
Joginder Sharma,2009,Chennai Super Kings," $225,000.00 "
M Muralitharan,2009,Chennai Super Kings," $600,000.00 "
ML Hayden,2009,Chennai Super Kings," $375,000.00 "
MS Dhoni,2009,Chennai Super Kings," $1,500,000.00 "
PA Patel,2009,Chennai Super Kings," $325,000.00 "
SK Raina,2009,Chennai Super Kings," $650,000.00 "
T Thushara,2009,Chennai Super Kings," $140,000.00 "
A Symonds,2009,Deccan Chargers," $1,350,000.00 "
AC Gilchrist,2009,Deccan Chargers," $700,000.00 "
DR Smith,2009,Deccan Chargers," $100,000.00 "
FH Edwards,2009,Deccan Chargers," $150,000.00 "
HH Gibbs,2009,Deccan Chargers," $575,000.00 "
RG Sharma,2009,Deccan Chargers," $750,000.00 "
RP Singh,2009,Deccan Chargers," $875,000.00 "
SB Styris,2009,Deccan Chargers," $175,000.00 "
VVS Laxman,2009,Deccan Chargers," $375,000.00 "
WPUJC Vaas,2009,Deccan Chargers," $200,000.00 "
AB de Villiers,2009,Delhi Daredevils," $300,000.00 "
G Gambhir,2009,Delhi Daredevils," $725,000.00 "
KD Karthik,2009,Delhi Daredevils," $525,000.00 "
MF Maharoof,2009,Delhi Daredevils," $225,000.00 "
MK Tiwary,2009,Delhi Daredevils," $675,000.00 "
TM Dilshan,2009,Delhi Daredevils," $250,000.00 "
B Lee,2009,Kings XI Punjab," $900,000.00 "
DPMD Jayawardene,2009,Kings XI Punjab," $475,000.00 "
IK Pathan,2009,Kings XI Punjab," $925,000.00 "
KC Sangakkara,2009,Kings XI Punjab," $700,000.00 "
PP Chawla,2009,Kings XI Punjab," $400,000.00 "
RR Powar,2009,Kings XI Punjab," $170,000.00 "
RS Bopara,2009,Kings XI Punjab," $450,000.00 "
S Sreesanth,2009,Kings XI Punjab," $625,000.00 "
SM Katich,2009,Kings XI Punjab," $200,000.00 "
AB Agarkar,2009,Kolkata Knight Riders," $350,000.00 "
BB McCullum,2009,Kolkata Knight Riders," $700,000.00 "
DJ Hussey,2009,Kolkata Knight Riders," $625,000.00 "
I Sharma,2009,Kolkata Knight Riders," $950,000.00 "
M Kartik,2009,Kolkata Knight Riders," $425,000.00 "
Mashrafe Mortaza,2009,Kolkata Knight Riders," $600,000.00 "
Harbhajan Singh,2009,Mumbai Indians," $850,000.00 "
JP Duminy,2009,Mumbai Indians," $950,000.00 "
Mohammad Ashraful,2009,Mumbai Indians," $75,000.00 "
ST Jayasuriya,2009,Mumbai Indians," $975,000.00 "
Z Khan,2009,Mumbai Indians," $450,000.00 "
GC Smith,2009,Rajasthan Royals," $250,000.00 "
MM Patel,2009,Rajasthan Royals," $275,000.00 "
SK Warne,2009,Rajasthan Royals," $450,000.00 "
T Henderson,2009,Rajasthan Royals," $650,000.00 "
YK Pathan,2009,Rajasthan Royals," $475,000.00 "
A Kumble,2009,Royal Challengers Bangalore," $500,000.00 "
DW Steyn,2009,Royal Challengers Bangalore," $325,000.00 "
JD Ryder,2009,Royal Challengers Bangalore," $160,000.00 "
JH Kallis,2009,Royal Challengers Bangalore," $900,000.00 "
KP Pietersen,2009,Royal Challengers Bangalore," $1,550,000.00 "
MV Boucher,2009,Royal Challengers Bangalore," $450,000.00 "
RV Uthappa,2009,Royal Challengers Bangalore," $800,000.00 "
W Jaffer,2009,Royal Challengers Bangalore," $150,000.00 "
GJ Bailey,2010,Chennai Super Kings," $50,000.00 "
JA Morkel,2010,Chennai Super Kings," $675,000.00 "
JM Kemp,2010,Chennai Super Kings," $100,000.00 "
Joginder Sharma,2010,Chennai Super Kings," $225,000.00 "
M Muralitharan,2010,Chennai Super Kings," $600,000.00 "
MEK Hussey,2010,Chennai Super Kings," $250,000.00 "
ML Hayden,2010,Chennai Super Kings," $375,000.00 "
MS Dhoni,2010,Chennai Super Kings," $1,500,000.00 "
PA Patel,2010,Chennai Super Kings," $325,000.00 "
SK Raina,2010,Chennai Super Kings," $650,000.00 "
T Thushara,2010,Chennai Super Kings," $140,000.00 "
A Symonds,2010,Deccan Chargers," $1,350,000.00 "
AC Gilchrist,2010,Deccan Chargers," $700,000.00 "
DR Smith,2010,Deccan Chargers," $100,000.00 "
HH Gibbs,2010,Deccan Chargers," $575,000.00 "
KAJ Roach,2010,Deccan Chargers," $720,000.00 "
RG Sharma,2010,Deccan Chargers," $750,000.00 "
RP Singh,2010,Deccan Chargers," $875,000.00 "
VVS Laxman,2010,Deccan Chargers," $375,000.00 "
WPUJC Vaas,2010,Deccan Chargers," $200,000.00 "
AB de Villiers,2010,Delhi Daredevils," $300,000.00 "
G Gambhir,2010,Delhi Daredevils," $725,000.00 "
KD Karthik,2010,Delhi Daredevils," $525,000.00 "
MF Maharoof,2010,Delhi Daredevils," $225,000.00 "
TM Dilshan,2010,Delhi Daredevils," $250,000.00 "
B Lee,2010,Kings XI Punjab," $900,000.00 "
DPMD Jayawardene,2010,Kings XI Punjab," $475,000.00 "
IK Pathan,2010,Kings XI Punjab," $925,000.00 "
KC Sangakkara,2010,Kings XI Punjab," $700,000.00 "
M Kaif,2010,Kings XI Punjab," $250,000.00 "
PP Chawla,2010,Kings XI Punjab," $400,000.00 "
RR Powar,2010,Kings XI Punjab," $170,000.00 "
RS Bopara,2010,Kings XI Punjab," $450,000.00 "
S Sreesanth,2010,Kings XI Punjab," $625,000.00 "
YA Abdulla,2010,Kings XI Punjab," $50,000.00 "
AB Agarkar,2010,Kolkata Knight Riders," $350,000.00 "
BB McCullum,2010,Kolkata Knight Riders," $700,000.00 "
DJ Hussey,2010,Kolkata Knight Riders," $625,000.00 "
I Sharma,2010,Kolkata Knight Riders," $950,000.00 "
M Kartik,2010,Kolkata Knight Riders," $425,000.00 "
MK Tiwary,2010,Kolkata Knight Riders," $675,000.00 "
SE Bond,2010,Kolkata Knight Riders," $750,000.00 "
CRD Fernando,2010,Mumbai Indians," $150,000.00 "
Harbhajan Singh,2010,Mumbai Indians," $850,000.00 "
JP Duminy,2010,Mumbai Indians," $950,000.00 "
KA Pollard,2010,Mumbai Indians," $750,000.00 "
ST Jayasuriya,2010,Mumbai Indians," $975,000.00 "
Z Khan,2010,Mumbai Indians," $450,000.00 "
AC Voges,2010,Rajasthan Royals," $50,000.00 "
DR Martyn,2010,Rajasthan Royals," $100,000.00 "
GC Smith,2010,Rajasthan Royals," $250,000.00 "
MM Patel,2010,Rajasthan Royals," $275,000.00 "
SK Warne,2010,Rajasthan Royals," $450,000.00 "
SR Watson,2010,Rajasthan Royals," $125,000.00 "
YK Pathan,2010,Rajasthan Royals," $475,000.00 "
A Kumble,2010,Royal Challengers Bangalore," $500,000.00 "
CL White,2010,Royal Challengers Bangalore," $500,000.00 "
DW Steyn,2010,Royal Challengers Bangalore," $325,000.00 "
EJG Morgan,2010,Royal Challengers Bangalore," $220,000.00 "
JH Kallis,2010,Royal Challengers Bangalore," $900,000.00 "
KP Pietersen,2010,Royal Challengers Bangalore," $1,550,000.00 "
MV Boucher,2010,Royal Challengers Bangalore," $450,000.00 "
RV Uthappa,2010,Royal Challengers Bangalore," $800,000.00 "
DE Bollinger,2011,Chennai Super Kings," $700,000.00 "
DJ Bravo,2011,Chennai Super Kings," $200,000.00 "
JA Morkel,2011,Chennai Super Kings," $675,000.00 "
Joginder Sharma,2011,Chennai Super Kings," $150,000.00 "
MEK Hussey,2011,Chennai Super Kings," $425,000.00 "
MS Dhoni,2011,Chennai Super Kings," $1,500,000.00 "
R Ashwin,2011,Chennai Super Kings," $850,000.00 "
S Badrinath,2011,Chennai Super Kings," $800,000.00 "
S Randiv,2011,Chennai Super Kings," $80,000.00 "
SB Styris,2011,Chennai Super Kings," $200,000.00 "
SK Raina,2011,Chennai Super Kings," $650,000.00 "
WP Saha,2011,Chennai Super Kings," $100,000.00 "
A Mishra,2011,Deccan Chargers," $300,000.00 "
CL White,2011,Deccan Chargers," $1,100,000.00 "
DT Christian,2011,Deccan Chargers," $900,000.00 "
DW Steyn,2011,Deccan Chargers," $1,200,000.00 "
I Sharma,2011,Deccan Chargers," $450,000.00 "
JP Duminy,2011,Deccan Chargers," $300,000.00 "
KC Sangakkara,2011,Deccan Chargers," $700,000.00 "
MJ Lumb,2011,Deccan Chargers," $80,000.00 "
MS Gony,2011,Deccan Chargers," $290,000.00 "
S Dhawan,2011,Deccan Chargers," $300,000.00 "
AB Agarkar,2011,Delhi Daredevils," $210,000.00 "
AB Dinda,2011,Delhi Daredevils," $375,000.00 "
AB McDonald,2011,Delhi Daredevils," $80,000.00 "
AJ Finch,2011,Delhi Daredevils," $300,000.00 "
CA Ingram,2011,Delhi Daredevils," $100,000.00 "
DA Warner,2011,Delhi Daredevils," $750,000.00 "
IK Pathan,2011,Delhi Daredevils," $1,900,000.00 "
JR Hopes,2011,Delhi Daredevils," $350,000.00 "
M Morkel,2011,Delhi Daredevils," $475,000.00 "
MS Wade,2011,Delhi Daredevils," $100,000.00 "
NV Ojha,2011,Delhi Daredevils," $270,000.00 "
RE van der Merwe,2011,Delhi Daredevils," $50,000.00 "
TR Birt,2011,Delhi Daredevils," $20,000.00 "
Y Venugopal Rao,2011,Delhi Daredevils," $700,000.00 "
AC Gilchrist,2011,Kings XI Punjab," $900,000.00 "
AM Nayar,2011,Kings XI Punjab," $800,000.00 "
DJ Hussey,2011,Kings XI Punjab," $1,400,000.00 "
KD Karthik,2011,Kings XI Punjab," $900,000.00 "
NJ Rimmington,2011,Kings XI Punjab," $20,000.00 "
P Kumar,2011,Kings XI Punjab," $800,000.00 "
PP Chawla,2011,Kings XI Punjab," $900,000.00 "
R McLaren,2011,Kings XI Punjab," $250,000.00 "
RJ Harris,2011,Kings XI Punjab," $325,000.00 "
SE Marsh,2011,Kings XI Punjab," $400,000.00 "
BB McCullum,2011,Kochi Tuskers Kerala," $475,000.00 "
BJ Hodge,2011,Kochi Tuskers Kerala," $425,000.00 "
