Player,Team,batting_score,bowling_score,overall_score,Overall E(D),Season,Season_Adj,Player_team,Player_team_season
A Kumble,Royal Challengers Bangalore,-0.65,221.27,220.62,220.62,2009_10,2010,A Kumble|Royal Challengers Bangalore,A Kumble|Royal Challengers Bangalore|2010
A Symonds,Deccan Chargers,-20.85,57.76,36.91,36.91,2009_10,2010,A Symonds|Deccan Chargers,A Symonds|Deccan Chargers|2010
AC Gilchrist,Deccan Chargers,29.75,0,29.75,29.75,2009_10,2010,AC Gilchrist|Deccan Chargers,AC Gilchrist|Deccan Chargers|2010
AD Mathews,Kolkata Knight Riders,-13.88,-72.97,-86.85,-86.85,2009_10,2010,AD Mathews|Kolkata Knight Riders,AD Mathews|Kolkata Knight Riders|2010
AT Rayudu,Mumbai Indians,30.41,0,30.41,30.41,2009_10,2010,AT Rayudu|Mumbai Indians,AT Rayudu|Mumbai Indians|2010
CH Gayle,Kolkata Knight Riders,34.33,-59.3,-24.97,-24.97,2009_10,2010,CH Gayle|Kolkata Knight Riders,CH Gayle|Kolkata Knight Riders|2010
DE Bollinger,Chennai Super Kings,4.15,97.38,101.53,101.54,2009_10,2010,DE Bollinger|Chennai Super Kings,DE Bollinger|Chennai Super Kings|2010
DPMD Jayawardene,Kings XI Punjab,58.32,0,58.32,58.32,2009_10,2010,DPMD Jayawardene|Kings XI Punjab,DPMD Jayawardene|Kings XI Punjab|2010
DW Steyn,Royal Challengers Bangalore,-0.85,151.31,150.46,150.47,2009_10,2010,DW Steyn|Royal Challengers Bangalore,DW Steyn|Royal Challengers Bangalore|2010
HH Gibbs,Deccan Chargers,-16.33,0,-16.33,-16.33,2009_10,2010,HH Gibbs|Deccan Chargers,HH Gibbs|Deccan Chargers|2010
Harbhajan Singh,Mumbai Indians,21.58,99.61,121.19,121.2,2009_10,2010,Harbhajan Singh|Mumbai Indians,Harbhajan Singh|Mumbai Indians|2010
IK Pathan,Kings XI Punjab,51.17,-215.96,-164.79,-164.79,2009_10,2010,IK Pathan|Kings XI Punjab,IK Pathan|Kings XI Punjab|2010
JA Morkel,Chennai Super Kings,32.79,-93.7,-60.91,-60.91,2009_10,2010,JA Morkel|Chennai Super Kings,JA Morkel|Chennai Super Kings|2010
JH Kallis,Royal Challengers Bangalore,-79.92,-83.33,-163.25,-163.25,2009_10,2010,JH Kallis|Royal Challengers Bangalore,JH Kallis|Royal Challengers Bangalore|2010
KA Pollard,Mumbai Indians,67.06,-11.86,55.2,55.2,2009_10,2010,KA Pollard|Mumbai Indians,KA Pollard|Mumbai Indians|2010
KC Sangakkara,Kings XI Punjab,26.08,0,26.08,26.08,2009_10,2010,KC Sangakkara|Kings XI Punjab,KC Sangakkara|Kings XI Punjab|2010
KP Pietersen,Royal Challengers Bangalore,37.87,-2.98,34.89,34.89,2009_10,2010,KP Pietersen|Royal Challengers Bangalore,KP Pietersen|Royal Challengers Bangalore|2010
M Muralitharan,Chennai Super Kings,-0.63,52.21,51.58,51.58,2009_10,2010,M Muralitharan|Chennai Super Kings,M Muralitharan|Chennai Super Kings|2010
M Vijay,Chennai Super Kings,67.63,0,67.63,67.63,2009_10,2010,M Vijay|Chennai Super Kings,M Vijay|Chennai Super Kings|2010
