Player,Season,Season_num,Team,Salary
A Flintoff,2009,2,Chennai Super Kings,1550000
GJ Bailey,2009,2,Chennai Super Kings,50000
JA Morkel,2009,2,Chennai Super Kings,675000
JDP Oram,2009,2,Chennai Super Kings,675000
Joginder Sharma,2009,2,Chennai Super Kings,225000
M Muralitharan,2009,2,Chennai Super Kings,600000
ML Hayden,2009,2,Chennai Super Kings,375000
MS Dhoni,2009,2,Chennai Super Kings,1500000
PA Patel,2009,2,Chennai Super Kings,325000
SK Raina,2009,2,Chennai Super Kings,650000
T Thushara,2009,2,Chennai Super Kings,140000
A Symonds,2009,2,Deccan Chargers,1350000
AC Gilchrist,2009,2,Deccan Chargers,700000
DR Smith,2009,2,Deccan Chargers,100000
FH Edwards,2009,2,Deccan Chargers,150000
HH Gibbs,2009,2,Deccan Chargers,575000
RG Sharma,2009,2,Deccan Chargers,750000
RP Singh,2009,2,Deccan Chargers,875000
SB Styris,2009,2,Deccan Chargers,175000
VVS Laxman,2009,2,Deccan Chargers,375000
WPUJC Vaas,2009,2,Deccan Chargers,200000
AB de Villiers,2009,2,Delhi Daredevils,300000
G Gambhir,2009,2,Delhi Daredevils,725000
KD Karthik,2009,2,Delhi Daredevils,525000
MF Maharoof,2009,2,Delhi Daredevils,225000
MK Tiwary,2009,2,Delhi Daredevils,675000
TM Dilshan,2009,2,Delhi Daredevils,250000
B Lee,2009,2,Kings XI Punjab,900000
DPMD Jayawardene,2009,2,Kings XI Punjab,475000
IK Pathan,2009,2,Kings XI Punjab,925000
KC Sangakkara,2009,2,Kings XI Punjab,700000
PP Chawla,2009,2,Kings XI Punjab,400000
RR Powar,2009,2,Kings XI Punjab,170000
RS Bopara,2009,2,Kings XI Punjab,450000
S Sreesanth,2009,2,Kings XI Punjab,625000
SM Katich,2009,2,Kings XI Punjab,200000
AB Agarkar,2009,2,Kolkata Knight Riders,350000
BB McCullum,2009,2,Kolkata Knight Riders,700000
DJ Hussey,2009,2,Kolkata Knight Riders,625000
I Sharma,2009,2,Kolkata Knight Riders,950000
M Kartik,2009,2,Kolkata Knight Riders,425000
Mashrafe Mortaza,2009,2,Kolkata Knight Riders,600000
Harbhajan Singh,2009,2,Mumbai Indians,850000
JP Duminy,2009,2,Mumbai Indians,950000
Mohammad Ashraful,2009,2,Mumbai Indians,75000
ST Jayasuriya,2009,2,Mumbai Indians,975000
Z Khan,2009,2,Mumbai Indians,450000
GC Smith,2009,2,Rajasthan Royals,250000
