Name,Season,Team, Price ,Overall Performance Score
A Flintoff,2009,Chennai Super Kings," $1,550,000.00 ",
GJ Bailey,2009,Chennai Super Kings," $50,000.00 ",13.32
GJ Bailey,2009,Chennai Super Kings," $50,000.00 ",87.74
JA Morkel,2009,Chennai Super Kings," $675,000.00 ",-43.25
JA Morkel,2009,Chennai Super Kings," $675,000.00 ",-60.91
JA Morkel,2009,Chennai Super Kings," $675,000.00 ",-104.98
JA Morkel,2009,Chennai Super Kings," $675,000.00 ",-178.08
JA Morkel,2009,Chennai Super Kings," $675,000.00 ",-1359.72
JDP Oram,2009,Chennai Super Kings," $675,000.00 ",
Joginder Sharma,2009,Chennai Super Kings," $225,000.00 ",
M Muralitharan,2009,Chennai Super Kings," $600,000.00 ",104.81
M Muralitharan,2009,Chennai Super Kings," $600,000.00 ",51.58
M Muralitharan,2009,Chennai Super Kings," $600,000.00 ",283.87
M Muralitharan,2009,Chennai Super Kings," $600,000.00 ",-134.08
ML Hayden,2009,Chennai Super Kings," $375,000.00 ",-37.32
ML Hayden,2009,Chennai Super Kings," $375,000.00 ",108.39
MS Dhoni,2009,Chennai Super Kings," $1,500,000.00 ",-22.32
MS Dhoni,2009,Chennai Super Kings," $1,500,000.00 ",19.41
MS Dhoni,2009,Chennai Super Kings," $1,500,000.00 ",33.69
MS Dhoni,2009,Chennai Super Kings," $1,500,000.00 ",85.61
MS Dhoni,2009,Chennai Super Kings," $1,500,000.00 ",470.03
MS Dhoni,2009,Chennai Super Kings," $1,500,000.00 ",86.87
MS Dhoni,2009,Chennai Super Kings," $1,500,000.00 ",44.82
MS Dhoni,2009,Chennai Super Kings," $1,500,000.00 ",471.88
MS Dhoni,2009,Chennai Super Kings," $1,500,000.00 ",-1.70
MS Dhoni,2009,Chennai Super Kings," $1,500,000.00 ",-58.21
MS Dhoni,2009,Chennai Super Kings," $1,500,000.00 ",30.81
MS Dhoni,2009,Chennai Super Kings," $1,500,000.00 ",-26.66
MS Dhoni,2009,Chennai Super Kings," $1,500,000.00 ",-38.44
MS Dhoni,2009,Chennai Super Kings," $1,500,000.00 ",-20.15
PA Patel,2009,Chennai Super Kings," $325,000.00 ",-103.65
PA Patel,2009,Chennai Super Kings," $325,000.00 ",331.84
PA Patel,2009,Chennai Super Kings," $325,000.00 ",-20.91
PA Patel,2009,Chennai Super Kings," $325,000.00 ",24.65
PA Patel,2009,Chennai Super Kings," $325,000.00 ",378.00
PA Patel,2009,Chennai Super Kings," $325,000.00 ",14.91
SK Raina,2009,Chennai Super Kings," $650,000.00 ",49.40
SK Raina,2009,Chennai Super Kings," $650,000.00 ",45.53
SK Raina,2009,Chennai Super Kings," $650,000.00 ",143.78
SK Raina,2009,Chennai Super Kings," $650,000.00 ",24.69
SK Raina,2009,Chennai Super Kings," $650,000.00 ",140.09
SK Raina,2009,Chennai Super Kings," $650,000.00 ",110.92
SK Raina,2009,Chennai Super Kings," $650,000.00 ",54.06
SK Raina,2009,Chennai Super Kings," $650,000.00 ",342.94
SK Raina,2009,Chennai Super Kings," $650,000.00 ",25.12
SK Raina,2009,Chennai Super Kings," $650,000.00 ",551.31
SK Raina,2009,Chennai Super Kings," $650,000.00 ",-46.03
SK Raina,2009,Chennai Super Kings," $650,000.00 ",-34.95
T Thushara,2009,Chennai Super Kings," $140,000.00 ",
A Symonds,2009,Deccan Chargers," $1,350,000.00 ",36.91
A Symonds,2009,Deccan Chargers," $1,350,000.00 ",83.58
AC Gilchrist,2009,Deccan Chargers," $700,000.00 ",21.23
AC Gilchrist,2009,Deccan Chargers," $700,000.00 ",29.75
AC Gilchrist,2009,Deccan Chargers," $700,000.00 ",111.55
AC Gilchrist,2009,Deccan Chargers," $700,000.00 ",14.60
AC Gilchrist,2009,Deccan Chargers," $700,000.00 ",24.63
DR Smith,2009,Deccan Chargers," $100,000.00 ",-32.09
DR Smith,2009,Deccan Chargers," $100,000.00 ",-12.58
DR Smith,2009,Deccan Chargers," $100,000.00 ",0.91
DR Smith,2009,Deccan Chargers," $100,000.00 ",646.46
DR Smith,2009,Deccan Chargers," $100,000.00 ",160.88
DR Smith,2009,Deccan Chargers," $100,000.00 ",-880.00
FH Edwards,2009,Deccan Chargers," $150,000.00 ",
HH Gibbs,2009,Deccan Chargers," $575,000.00 ",-16.33
HH Gibbs,2009,Deccan Chargers," $575,000.00 ",-9.07
RG Sharma,2009,Deccan Chargers," $750,000.00 ",53.79
RG Sharma,2009,Deccan Chargers," $750,000.00 ",-44.01
RG Sharma,2009,Deccan Chargers," $750,000.00 ",-16.00
RG Sharma,2009,Deccan Chargers," $750,000.00 ",5.10
RG Sharma,2009,Deccan Chargers," $750,000.00 ",13.86
RG Sharma,2009,Deccan Chargers," $750,000.00 ",62.99
RG Sharma,2009,Deccan Chargers," $750,000.00 ",-0.40
RG Sharma,2009,Deccan Chargers," $750,000.00 ",21.34
RG Sharma,2009,Deccan Chargers," $750,000.00 ",-8.87
RG Sharma,2009,Deccan Chargers," $750,000.00 ",387.44
RG Sharma,2009,Deccan Chargers," $750,000.00 ",10.51
RG Sharma,2009,Deccan Chargers," $750,000.00 ",-34.55
RG Sharma,2009,Deccan Chargers," $750,000.00 ",-4.78
RG Sharma,2009,Deccan Chargers," $750,000.00 ",-19.13
RG Sharma,2009,Deccan Chargers," $750,000.00 ",-35.83
RP Singh,2009,Deccan Chargers," $875,000.00 ",-139.82
RP Singh,2009,Deccan Chargers," $875,000.00 ",-191.82
RP Singh,2009,Deccan Chargers," $875,000.00 ",-5.35
RP Singh,2009,Deccan Chargers," $875,000.00 ",-29.13
RP Singh,2009,Deccan Chargers," $875,000.00 ",115.79
SB Styris,2009,Deccan Chargers," $175,000.00 ",
VVS Laxman,2009,Deccan Chargers," $375,000.00 ",
WPUJC Vaas,2009,Deccan Chargers," $200,000.00 ",
AB de Villiers,2009,Delhi Daredevils," $300,000.00 ",31.97
AB de Villiers,2009,Delhi Daredevils," $300,000.00 ",21.70
AB de Villiers,2009,Delhi Daredevils," $300,000.00 ",343.32
AB de Villiers,2009,Delhi Daredevils," $300,000.00 ",108.60
AB de Villiers,2009,Delhi Daredevils," $300,000.00 ",56.95
AB de Villiers,2009,Delhi Daredevils," $300,000.00 ",97.27
AB de Villiers,2009,Delhi Daredevils," $300,000.00 ",150.35
AB de Villiers,2009,Delhi Daredevils," $300,000.00 ",-12.14
AB de Villiers,2009,Delhi Daredevils," $300,000.00 ",91.61
AB de Villiers,2009,Delhi Daredevils," $300,000.00 ",57.34
AB de Villiers,2009,Delhi Daredevils," $300,000.00 ",33.03
